frame: 1, left_eye_area: 244.0, right_eye_area: 219.0, left_eye_closed: 244.0, right_eye_closed: 219.0, left_eye_threshold: 219.6, right_eye_threshold: 197.1, blinkCounter: 0
frame: 2, left_eye_area: 218.0, right_eye_area: 215.0, left_eye_closed: 231.0, right_eye_closed: 217.0, left_eye_threshold: 207.9, right_eye_threshold: 195.3, blinkCounter: 0
frame: 3, left_eye_area: 219.0, right_eye_area: 209.5, left_eye_closed: 227.0, right_eye_closed: 214.5, left_eye_threshold: 204.3, right_eye_threshold: 193.05, blinkCounter: 0
frame: 4, left_eye_area: 180.0, right_eye_area: 177.0, left_eye_closed: 215.25, right_eye_closed: 205.125, left_eye_threshold: 193.725, right_eye_threshold: 184.6125, blinkCounter: 0
frame: 5, left_eye_area: 210.5, right_eye_area: 199.5, left_eye_closed: 214.3, right_eye_closed: 204.0, left_eye_threshold: 192.87, right_eye_threshold: 183.6, blinkCounter: 0
frame: 6, left_eye_area: 204.0, right_eye_area: 193.0, left_eye_closed: 207.6, right_eye_closed: 200.1, left_eye_threshold: 186.84, right_eye_threshold: 180.09, blinkCounter: 0
frame: 7, left_eye_area: 202.5, right_eye_area: 199.0, left_eye_closed: 204.8, right_eye_closed: 195.7, left_eye_threshold: 184.32000000000002, right_eye_threshold: 176.13, blinkCounter: 0
frame: 8, left_eye_area: 202.0, right_eye_area: 183.0, left_eye_closed: 201.5, right_eye_closed: 193.6, left_eye_threshold: 181.35, right_eye_threshold: 174.24, blinkCounter: 0
frame: 9, left_eye_area: 210.0, right_eye_area: 192.0, left_eye_closed: 205.9, right_eye_closed: 194.8, left_eye_threshold: 185.31, right_eye_threshold: 175.32000000000002, blinkCounter: 0
frame: 10, left_eye_area: 203.0, right_eye_area: 188.0, left_eye_closed: 205.8, right_eye_closed: 193.3, left_eye_threshold: 185.22000000000003, right_eye_threshold: 173.97000000000003, blinkCounter: 0
frame: 11, left_eye_area: 184.0, right_eye_area: 193.5, left_eye_closed: 204.3, right_eye_closed: 191.0, left_eye_threshold: 183.87, right_eye_threshold: 171.9, blinkCounter: 0
frame: 12, left_eye_area: 109.0, right_eye_area: 113.5, left_eye_closed: 200.3, right_eye_closed: 191.1, left_eye_threshold: 180.27, right_eye_threshold: 171.99, blinkCounter: 1
frame: 13, left_eye_area: 152.5, right_eye_area: 140.5, left_eye_closed: 200.3, right_eye_closed: 191.1, left_eye_threshold: 180.27, right_eye_threshold: 171.99, blinkCounter: 1
frame: 14, left_eye_area: 178.0, right_eye_area: 173.5, left_eye_closed: 200.3, right_eye_closed: 191.1, left_eye_threshold: 180.27, right_eye_threshold: 171.99, blinkCounter: 1
frame: 15, left_eye_area: 204.0, right_eye_area: 209.0, left_eye_closed: 200.3, right_eye_closed: 191.1, left_eye_threshold: 180.27, right_eye_threshold: 171.99, blinkCounter: 1
frame: 16, left_eye_area: 204.0, right_eye_area: 195.0, left_eye_closed: 200.6, right_eye_closed: 193.1, left_eye_threshold: 180.54, right_eye_threshold: 173.79, blinkCounter: 1
frame: 17, left_eye_area: 205.0, right_eye_area: 198.0, left_eye_closed: 201.0, right_eye_closed: 195.5, left_eye_threshold: 180.9, right_eye_threshold: 175.95000000000002, blinkCounter: 1
frame: 18, left_eye_area: 224.5, right_eye_area: 210.0, left_eye_closed: 200.0, right_eye_closed: 196.7, left_eye_threshold: 180.0, right_eye_threshold: 177.03, blinkCounter: 1
