frame: 1, left_eye_area: 253.0, right_eye_area: 204.5, left_eye_closed: 253.0, right_eye_closed: 204.5, left_eye_threshold: 202.4, right_eye_threshold: 163.60000000000002, blinkCounter: 0
frame: 2, left_eye_area: 254.0, right_eye_area: 196.5, left_eye_closed: 253.5, right_eye_closed: 200.5, left_eye_threshold: 202.8, right_eye_threshold: 160.4, blinkCounter: 0
frame: 3, left_eye_area: 259.0, right_eye_area: 188.5, left_eye_closed: 255.33333333333334, right_eye_closed: 196.5, left_eye_threshold: 204.26666666666668, right_eye_threshold: 157.20000000000002, blinkCounter: 0
frame: 4, left_eye_area: 184.5, right_eye_area: 155.0, left_eye_closed: 237.625, right_eye_closed: 186.125, left_eye_threshold: 190.10000000000002, right_eye_threshold: 148.9, blinkCounter: 0
frame: 5, left_eye_area: 204.5, right_eye_area: 164.0, left_eye_closed: 231.0, right_eye_closed: 181.7, left_eye_threshold: 184.8, right_eye_threshold: 145.35999999999999, blinkCounter: 0
frame: 6, left_eye_area: 212.5, right_eye_area: 167.0, left_eye_closed: 221.3, right_eye_closed: 173.6, left_eye_threshold: 177.04000000000002, right_eye_threshold: 138.88, blinkCounter: 0
frame: 7, left_eye_area: 209.5, right_eye_area: 174.0, left_eye_closed: 213.0, right_eye_closed: 167.7, left_eye_threshold: 170.4, right_eye_threshold: 134.16, blinkCounter: 0
frame: 8, left_eye_area: 192.5, right_eye_area: 162.5, left_eye_closed: 203.1, right_eye_closed: 164.8, left_eye_threshold: 162.48000000000002, right_eye_threshold: 131.84, blinkCounter: 0
frame: 9, left_eye_area: 192.5, right_eye_area: 157.0, left_eye_closed: 204.7, right_eye_closed: 166.3, left_eye_threshold: 163.76, right_eye_threshold: 133.04000000000002, blinkCounter: 0
frame: 10, left_eye_area: 240.5, right_eye_area: 187.0, left_eye_closed: 202.3, right_eye_closed: 164.9, left_eye_threshold: 161.84000000000003, right_eye_threshold: 131.92000000000002, blinkCounter: 0
frame: 11, left_eye_area: 239.0, right_eye_area: 178.0, left_eye_closed: 209.5, right_eye_closed: 169.5, left_eye_threshold: 167.60000000000002, right_eye_threshold: 135.6, blinkCounter: 0
frame: 12, left_eye_area: 235.0, right_eye_area: 188.5, left_eye_closed: 214.8, right_eye_closed: 171.7, left_eye_threshold: 171.84000000000003, right_eye_threshold: 137.35999999999999, blinkCounter: 0
frame: 13, left_eye_area: 234.0, right_eye_area: 192.5, left_eye_closed: 219.9, right_eye_closed: 174.6, left_eye_threshold: 175.92000000000002, right_eye_threshold: 139.68, blinkCounter: 0
frame: 14, left_eye_area: 233.5, right_eye_area: 189.5, left_eye_closed: 228.2, right_eye_closed: 180.6, left_eye_threshold: 182.56, right_eye_threshold: 144.48, blinkCounter: 0
frame: 15, left_eye_area: 178.5, right_eye_area: 136.0, left_eye_closed: 236.4, right_eye_closed: 187.1, left_eye_threshold: 189.12, right_eye_threshold: 149.68, blinkCounter: 1
frame: 16, left_eye_area: 178.0, right_eye_area: 134.5, left_eye_closed: 236.4, right_eye_closed: 187.1, left_eye_threshold: 189.12, right_eye_threshold: 149.68, blinkCounter: 1
frame: 17, left_eye_area: 165.0, right_eye_area: 136.0, left_eye_closed: 236.4, right_eye_closed: 187.1, left_eye_threshold: 189.12, right_eye_threshold: 149.68, blinkCounter: 1
frame: 18, left_eye_area: 185.5, right_eye_area: 159.5, left_eye_closed: 236.4, right_eye_closed: 187.1, left_eye_threshold: 189.12, right_eye_threshold: 149.68, blinkCounter: 1
frame: 19, left_eye_area: 184.0, right_eye_area: 175.5, left_eye_closed: 236.4, right_eye_closed: 187.1, left_eye_threshold: 189.12, right_eye_threshold: 149.68, blinkCounter: 1
frame: 20, left_eye_area: 210.0, right_eye_area: 174.0, left_eye_closed: 236.4, right_eye_closed: 187.1, left_eye_threshold: 189.12, right_eye_threshold: 149.68, blinkCounter: 1
frame: 21, left_eye_area: 214.0, right_eye_area: 189.5, left_eye_closed: 230.3, right_eye_closed: 184.5, left_eye_threshold: 184.24, right_eye_threshold: 147.6, blinkCounter: 1
frame: 22, left_eye_area: 212.5, right_eye_area: 197.0, left_eye_closed: 225.3, right_eye_closed: 186.8, left_eye_threshold: 180.24, right_eye_threshold: 149.44000000000003, blinkCounter: 1
frame: 23, left_eye_area: 200.5, right_eye_area: 184.0, left_eye_closed: 220.8, right_eye_closed: 188.5, left_eye_threshold: 176.64000000000001, right_eye_threshold: 150.8, blinkCounter: 1
frame: 24, left_eye_area: 209.5, right_eye_area: 205.5, left_eye_closed: 214.1, right_eye_closed: 186.8, left_eye_threshold: 171.28, right_eye_threshold: 149.44000000000003, blinkCounter: 1
frame: 25, left_eye_area: 215.0, right_eye_area: 201.5, left_eye_closed: 209.3, right_eye_closed: 190.0, left_eye_threshold: 167.44000000000003, right_eye_threshold: 152.0, blinkCounter: 1
