frame: 1, left_eye_area: 170.0, right_eye_area: 128.5, left_eye_closed: 170.0, right_eye_closed: 128.5, left_eye_threshold: 136.0, right_eye_threshold: 102.80000000000001, blinkCounter: 0
frame: 2, left_eye_area: 167.0, right_eye_area: 129.5, left_eye_closed: 168.5, right_eye_closed: 129.0, left_eye_threshold: 134.8, right_eye_threshold: 103.2, blinkCounter: 0
frame: 3, left_eye_area: 186.5, right_eye_area: 132.5, left_eye_closed: 174.5, right_eye_closed: 130.16666666666666, left_eye_threshold: 139.6, right_eye_threshold: 104.13333333333333, blinkCounter: 0
frame: 4, left_eye_area: 292.0, right_eye_area: 218.0, left_eye_closed: 203.875, right_eye_closed: 152.125, left_eye_threshold: 163.10000000000002, right_eye_threshold: 121.7, blinkCounter: 0
frame: 5, left_eye_area: 258.5, right_eye_area: 198.0, left_eye_closed: 214.8, right_eye_closed: 161.3, left_eye_threshold: 171.84000000000003, right_eye_threshold: 129.04000000000002, blinkCounter: 0
frame: 6, left_eye_area: 280.5, right_eye_area: 211.5, left_eye_closed: 232.5, right_eye_closed: 175.2, left_eye_threshold: 186.0, right_eye_threshold: 140.16, blinkCounter: 0
frame: 7, left_eye_area: 275.0, right_eye_area: 201.0, left_eye_closed: 255.2, right_eye_closed: 191.6, left_eye_threshold: 204.16, right_eye_threshold: 153.28, blinkCounter: 0
frame: 8, left_eye_area: 285.0, right_eye_area: 214.5, left_eye_closed: 272.9, right_eye_closed: 205.3, left_eye_threshold: 218.32, right_eye_threshold: 164.24, blinkCounter: 0
frame: 9, left_eye_area: 286.0, right_eye_area: 206.0, left_eye_closed: 271.5, right_eye_closed: 204.6, left_eye_threshold: 217.20000000000002, right_eye_threshold: 163.68, blinkCounter: 0
frame: 10, left_eye_area: 291.5, right_eye_area: 215.5, left_eye_closed: 277.0, right_eye_closed: 206.2, left_eye_threshold: 221.60000000000002, right_eye_threshold: 164.96, blinkCounter: 0
frame: 11, left_eye_area: 287.5, right_eye_area: 211.0, left_eye_closed: 283.6, right_eye_closed: 209.7, left_eye_threshold: 226.88000000000002, right_eye_threshold: 167.76, blinkCounter: 0
frame: 12, left_eye_area: 276.5, right_eye_area: 212.5, left_eye_closed: 285.0, right_eye_closed: 209.6, left_eye_threshold: 228.0, right_eye_threshold: 167.68, blinkCounter: 0
frame: 13, left_eye_area: 283.0, right_eye_area: 208.0, left_eye_closed: 285.3, right_eye_closed: 211.9, left_eye_threshold: 228.24, right_eye_threshold: 169.52, blinkCounter: 0
frame: 14, left_eye_area: 274.0, right_eye_area: 214.5, left_eye_closed: 284.9, right_eye_closed: 210.6, left_eye_threshold: 227.92, right_eye_threshold: 168.48000000000002, blinkCounter: 0
frame: 15, left_eye_area: 259.0, right_eye_area: 205.5, left_eye_closed: 282.5, right_eye_closed: 212.3, left_eye_threshold: 226.0, right_eye_threshold: 169.84000000000003, blinkCounter: 0
frame: 16, left_eye_area: 254.0, right_eye_area: 193.5, left_eye_closed: 276.0, right_eye_closed: 210.3, left_eye_threshold: 220.8, right_eye_threshold: 168.24, blinkCounter: 0
frame: 17, left_eye_area: 248.5, right_eye_area: 202.0, left_eye_closed: 269.3, right_eye_closed: 206.8, left_eye_threshold: 215.44000000000003, right_eye_threshold: 165.44000000000003, blinkCounter: 0
frame: 18, left_eye_area: 234.5, right_eye_area: 202.5, left_eye_closed: 263.7, right_eye_closed: 204.7, left_eye_threshold: 210.96, right_eye_threshold: 163.76, blinkCounter: 0
frame: 19, left_eye_area: 235.0, right_eye_area: 192.5, left_eye_closed: 254.0, right_eye_closed: 203.6, left_eye_threshold: 203.20000000000002, right_eye_threshold: 162.88, blinkCounter: 0
frame: 20, left_eye_area: 249.5, right_eye_area: 196.5, left_eye_closed: 246.2, right_eye_closed: 199.2, left_eye_threshold: 196.96, right_eye_threshold: 159.36, blinkCounter: 0
frame: 21, left_eye_area: 163.0, right_eye_area: 140.5, left_eye_closed: 244.3, right_eye_closed: 197.4, left_eye_threshold: 195.44000000000003, right_eye_threshold: 157.92000000000002, blinkCounter: 1
